epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,459.227,1.25743,0.83448,1.32791,0.96,0.94973,0.96923,0.62838,1.24806,0.54497,1.26,0.00333019,0.00333019,0.00333019
2,908.75,1.2068,0.65588,1.2651,0.96095,0.93509,0.97116,0.63691,1.22062,0.584,1.30346,0.00653159,0.00653159,0.00653159
3,1356.55,1.23144,0.6885,1.29819,0.945,0.9341,0.96784,0.63981,1.21,0.61732,1.30374,0.00960098,0.00960098,0.00960098
4,1799.72,1.22112,0.6751,1.30282,0.96167,0.94832,0.97586,0.64933,1.20526,0.54168,1.29732,0.009406,0.009406,0.009406
5,2244.85,1.18434,0.62307,1.28022,0.97131,0.95824,0.98042,0.67097,1.14739,0.52131,1.2596,0.009208,0.009208,0.009208
6,2684.67,1.15903,0.59131,1.26645,0.9696,0.95607,0.98263,0.67851,1.14362,0.48982,1.25495,0.00901,0.00901,0.00901
7,3126.72,1.13834,0.57152,1.24554,0.97588,0.95293,0.98006,0.68357,1.14429,0.47565,1.25472,0.008812,0.008812,0.008812
8,3568.19,1.12815,0.55616,1.23917,0.97313,0.96052,0.98249,0.6864,1.12908,0.48848,1.23897,0.008614,0.008614,0.008614
9,4010.64,1.10797,0.54412,1.22189,0.97191,0.9654,0.9825,0.68532,1.13879,0.46169,1.23658,0.008416,0.008416,0.008416
10,4447.9,1.09666,0.52583,1.21644,0.97549,0.96865,0.98452,0.69206,1.13273,0.43795,1.23052,0.008218,0.008218,0.008218
11,4885.76,1.08131,0.51556,1.19995,0.9752,0.96497,0.98301,0.69711,1.12082,0.43607,1.2174,0.00802,0.00802,0.00802
12,5323.23,1.07622,0.51431,1.19955,0.97665,0.96827,0.98457,0.70013,1.10831,0.43185,1.21994,0.007822,0.007822,0.007822
13,5763.99,1.0622,0.50087,1.18605,0.97674,0.96408,0.98372,0.70164,1.10142,0.42697,1.20648,0.007624,0.007624,0.007624
14,6203.59,1.04961,0.4916,1.17598,0.9804,0.97051,0.98759,0.70913,1.10104,0.41774,1.20728,0.007426,0.007426,0.007426
15,6642.42,1.03872,0.4819,1.16624,0.97404,0.97111,0.98498,0.70696,1.09013,0.40678,1.20275,0.007228,0.007228,0.007228
16,7078.45,1.03264,0.4796,1.16734,0.97496,0.97102,0.98663,0.71015,1.09015,0.40096,1.20049,0.00703,0.00703,0.00703
17,7516.86,1.01874,0.47267,1.16463,0.97742,0.96816,0.98619,0.71511,1.07632,0.39897,1.19562,0.006832,0.006832,0.006832
18,7957.53,1.01594,0.46661,1.16047,0.98299,0.96398,0.98786,0.7162,1.07704,0.39222,1.18606,0.006634,0.006634,0.006634
19,8397.1,1.00327,0.45879,1.14707,0.98027,0.97289,0.9875,0.72403,1.0677,0.38331,1.18704,0.006436,0.006436,0.006436
20,8835.7,1.00051,0.45984,1.14589,0.97862,0.97229,0.98925,0.72155,1.06983,0.38266,1.18546,0.006238,0.006238,0.006238
21,9275.44,0.98755,0.44879,1.13923,0.97644,0.97592,0.99117,0.72676,1.06961,0.37586,1.1836,0.00604,0.00604,0.00604
22,9716.27,0.98351,0.4458,1.13317,0.97989,0.97372,0.99114,0.72513,1.0612,0.37373,1.17823,0.005842,0.005842,0.005842
23,10155.4,0.97034,0.43635,1.12657,0.98413,0.96933,0.99003,0.72713,1.0601,0.36786,1.17537,0.005644,0.005644,0.005644
24,10596.8,0.96211,0.42994,1.12161,0.98341,0.97249,0.98951,0.7266,1.05874,0.36826,1.17678,0.005446,0.005446,0.005446
25,11034.7,0.95876,0.42943,1.1205,0.9814,0.97645,0.9898,0.72912,1.04699,0.36412,1.16785,0.005248,0.005248,0.005248
26,11473.7,0.95324,0.42808,1.11553,0.9824,0.97368,0.99151,0.72992,1.0494,0.36239,1.1735,0.00505,0.00505,0.00505
27,11916,0.94657,0.42168,1.10977,0.9838,0.97318,0.98968,0.73466,1.04214,0.35825,1.16446,0.004852,0.004852,0.004852
28,12355.7,0.93769,0.41621,1.1104,0.98461,0.97505,0.99101,0.73518,1.0383,0.35306,1.16345,0.004654,0.004654,0.004654
29,12801.1,0.93124,0.41405,1.10701,0.98423,0.97603,0.9919,0.73539,1.03977,0.35321,1.16397,0.004456,0.004456,0.004456
30,13243.9,0.92111,0.40586,1.09561,0.98309,0.97348,0.9903,0.73527,1.03741,0.3536,1.16135,0.004258,0.004258,0.004258
